date,open,high,low,close,volume
2022-06-30,4418.066,4514.997,4418.066,4485.011,15666628900
2022-07-01,4489.52,4500.985,4449.291,4466.718,14477959900
2022-07-04,4447.216,4496.034,4427.823,4496.03,14634565100
2022-07-05,4505.457,4530.325,4439.451,4489.538,15496241500
2022-07-06,4475.482,4484.362,4393.417,4423.97,14980023500
2022-07-07,4425.281,4457.343,4391.194,4443.474,13266090600
2022-07-08,4468.063,4479.494,4426.886,4428.781,12319573900
2022-07-11,4406.148,4406.148,4330.582,4354.617,13444857800
2022-07-12,4352.646,4370.341,4296.622,4313.618,13018783800
2022-07-13,4313.359,4341.466,4284.942,4321.462,13111317900
2022-07-14,4308.823,4352.098,4292.76,4322.074,14525092600
2022-07-15,4299.471,4344.857,4248.527,4248.527,15021445300
2022-07-18,4262.154,4300.778,4217.506,4292.586,12260119200
2022-07-19,4288.444,4288.444,4238.824,4269.34,10380573000
2022-07-20,4291.281,4303.367,4269.972,4283.803,9449014400
2022-07-21,4270.362,4283.147,4236.05,4236.058,11715634400
2022-07-22,4251.787,4275.47,4207.314,4238.234,10384062400
2022-07-25,4233.928,4234.845,4201.919,4212.644,8363666400
2022-07-26,4220.091,4259.985,4214.534,4245.976,8582327400
2022-07-27,4236.154,4242.095,4217.281,4225.036,7890494000
2022-07-28,4242.274,4267.918,4223.029,4225.673,10753193000
2022-07-29,4226.425,4243.514,4160.874,4170.102,11417928600
2022-08-01,4160.648,4196.574,4129.453,4188.678,10774902900
2022-08-02,4144.377,4144.377,4071.431,4107.024,14222442500
2022-08-03,4114.825,4150.98,4058.179,4066.975,11666612400
2022-08-04,4089.442,4108.159,4064.659,4101.537,8953264400
2022-08-05,4109.629,4159.485,4097.863,4156.911,10257100400
2022-08-08,4142.111,4155.73,4135.081,4148.075,9020813800
2022-08-09,4143.666,4161.809,4131.425,4156.291,8413695900
2022-08-10,4149.207,4160.787,4092.546,4109.737,8556583900
2022-08-11,4130.741,4193.812,4116.056,4193.543,12138505100
2022-08-12,4185.42,4202.466,4175.05,4191.152,10680829500
2022-08-15,4180.001,4219.918,4174.3,4185.679,10589849500
2022-08-16,4190.527,4208.801,4170.52,4177.837,9390613900
2022-08-17,4182.567,4222.787,4155.173,4216.959,11286465900
2022-08-18,4205.785,4211.914,4173.541,4180.1,10105265000
2022-08-19,4174.546,4185.658,4151.074,4151.074,11740297800
2022-08-22,4135.162,4183.65,4134.201,4181.397,11244272000
2022-08-23,4175.531,4187.388,4147.413,4161.082,10315351200
2022-08-24,4168.576,4174.157,4079.093,4082.42,11906967900
2022-08-25,4093.295,4119.62,4058.745,4116.24,11132074500
2022-08-26,4127.814,4139.788,4102.682,4107.546,9900049300
2022-08-29,4063.883,4092.947,4059.596,4089.521,9435443200
2022-08-30,4088.526,4093.136,4048.524,4075.794,9330166200
2022-08-31,4057.144,4112.849,4046.623,4078.84,13244976500
2022-09-01,4066.187,4090.885,4041.128,4043.74,9738707100
2022-09-02,4054.842,4056.181,4004.911,4023.613,8678927800
2022-09-05,4010.405,4016.999,3982.74,4015.426,9376710900
2022-09-06,4024.473,4054.004,4009.583,4052.28,11350626500
2022-09-07,4032.723,4067.544,4028.374,4054.983,10767805900
2022-09-08,4059.169,4067.758,4036.023,4037.684,10088604900
2022-09-09,4050.585,4099.008,4042.25,4093.787,11842711400
2022-09-13,4112.012,4128.111,4097.141,4111.115,11178973700
2022-09-14,4058.044,4089.058,4047.919,4065.359,9079368100
2022-09-15,4078.65,4088.808,3998.856,4027.119,12395119600
2022-09-16,4013.583,4019.41,3932.683,3932.683,13719365500
2022-09-19,3928.424,3953.649,3910.311,3928.0,9771957500
2022-09-20,3945.647,3957.554,3921.688,3932.836,8482413400
2022-09-21,3921.318,3924.391,3884.227,3903.735,8645839100
2022-09-22,3875.177,3900.274,3860.231,3869.344,8094691900
2022-09-23,3865.105,3888.396,3829.691,3856.021,9434246200
2022-09-26,3829.596,3893.319,3827.95,3836.677,10452603100
2022-09-27,3844.069,3893.028,3827.927,3892.295,8886016000
2022-09-28,3879.44,3879.44,3828.055,3828.71,8659221300
2022-09-29,3864.316,3873.182,3808.65,3827.143,8565414200
2022-09-30,3833.35,3848.602,3801.28,3804.885,7855996600
